id,question,option_1,option_2,option_3,option_4,correct_option,explanation,difficulty,category
11,"Pipe A can fill a tank in 12 hours. When it works along with Pipe B, it can fill the tank in 8 hours. In how many hours can pipe B fill the same tank independently?",8 hrs,12 hrs,24 hrs,16 hrs,C,"A's rate = 1/12, A+B = 1/8. B's rate = 1/8 - 1/12 = 1/24. So B takes 24 hours.",Easy,Pipes and Cisterns
12,"Number of units of a good that can be produced by a factory is directly proportional to the square of the number of workers, square root of the number of machines and to the number of hours put in. The factory produces 200 goods when 4 people work for 8 hours each with 4 machines. When 3 people work for 12 hours each with 9 machines, how many goods will be produced?",253.125,1001.63,25256,1629,A,"Production ∝ (workers)² × √(machines) × hours. Find constant k from first scenario, then apply to second.",Medium,Work Efficiency
13,"A can complete a task in 12 days. B can complete the task in 18 days. If A and B work on this same task in alternate days starting with A, in how many days do they finish the entire task?",10.8 days,14.33 days,11 days,8.4 days,B,In 2 days: A+B = 1/12 + 1/18 = 5/36 work. In 14 days: 7 cycles = 35/36 work. Remaining 1/36 by A on 15th day: (1/36)/(1/12) = 1/3 day. Total = 14.33 days.,Medium,Time and Work
14,"A can complete a task 4 hours lesser time than B takes to complete the same. If A and B together can complete the task in 288 minutes, how long does B alone take to complete the task?",1 Hr,2 hrs,3 hrs,12 hrs,D,"Let B take x hours, A take x-4 hours. 1/(x-4) + 1/x = 1/(288/60) = 1/4.8. Solve quadratic equation.",Medium,Time and Work
15,"Two pipes can fill a tank in 12 hrs and 18 hrs respectively. The pipes are opened together but due to a pipe leakage, it takes 48 minutes extra to fill the tank. If the tank is full, what time will it take to completely empty due to the leakage?",72 hrs,84 hrs,96 hrs,112 hrs,A,"Combined fill rate = 1/12 + 1/18 = 5/36. With leakage, time = 1/(5/36 - 1/L) = 36/5 + 48/60. Solve for L.",Medium,Pipes and Cisterns
16,"A cistern of capacity 40 litres has an inlet and an outlet pipe. When both the pipes are opened at once, it takes 8 minutes to fill the cistern. However, if the outflow rate is increased 1.5 times, the cistern never gets filled. Which of the following can be the outflow rate?",8 litres/minute,6 litres/minute,12 litres/minute,9 litres/minute,C,"Let inflow = I, outflow = O. I - O = 40/8 = 5. If 1.5O > I, then never fills. Check options.",Medium,Pipes and Cisterns
17,"A cistern of 475 litres is completely filled using pipes A and B, with Pipe A being open for 5 more hours than pipe B. If we are to interchange the operating hours of the two pipes than pipe A would have pumped half the water as much as pipe B, then find the time for which pipe B was open. Also, given that if the two pipes were open simultaneously the tank would fill in 19 hours.",10 hrs,14 hrs,16 hrs,20 hrs,C,"Let rates: A = a, B = b. a+b = 1/19. Let B open for t hours, A for t+5. Water: a(t+5) + bt = 475. If interchanged: a(t) = 1/2 × b(t+5). Solve.",Hard,Pipes and Cisterns
18,"A mining team made a plan to mine up to 300 m in a certain number of days. After working as per plan for 5 days, they added new members to the team and hence could mine 5 m more per day. In this way, 4 days before the planned date, they had mined 295 m. How many meters of mining was initially planned for each day?",30 m,12.5 m,15 m,7.5 m,C,"Let planned rate = r m/day, planned days = d. Total = rd = 300. Work: 5r + (d-5-4)(r+5) = 295. Solve equations.",Hard,Time and Work
19,Ajay and Suraj can water a garden in 45 minutes and 40 minutes respectively. They started working together but after some time Ajay left to watch a cricket match. Suraj hurriedly finished the work in next 23 minutes and joined Ajay. After how many minutes had Ajay left?,9 min,8 min,7 min,10 min,A,Let they worked together for t minutes. Work done: t(1/45+1/40) + 23/40 = 1. Solve for t.,Medium,Time and Work
20,Bibhor takes 3 hours to fetch as much water as Ahmed can fetch in 2 hours. Deepak takes 5 hours to fetch as much water as Bibhor can fetch in 4 hours. A tank takes 20 hours to fill if all work together. What time would Bibhor take to fill the tank alone?,50 hrs,56 hrs,77 hrs,66 hrs,D,Find efficiency ratios. Let Ahmed's rate = A. Bibhor: 3B = 2A => B = 2A/3. Deepak: 5D = 4B => D = 4B/5 = 8A/15. Together: A + 2A/3 + 8A/15 = (15A+10A+8A)/15 = 33A/15 = 11A/5. Time = 1/(11A/5) = 5/11A = 20 hrs. So A = 5/220 = 1/44. Bibhor's time = 1/B = 1/(2A/3) = 3/2A = 3/(2/44) = 66 hrs.,Hard,Time and Work
21,"Anuj, Bibhuti and Chandu can lay 432 m of wires together in 8 days. In a day, Chandu can lay as many more meters of wire than Bibhuti as Bibhuti can lay more than Anuj. Chandu's 5 days of work is equivalent to Anuj's 7 days of work. How many meters of wire can Anuj alone lay in a day?",9 m,15 m,18 m,21 m,B,"Let Anuj, Bibhuti, Chandu lay a, b, c m/day. Given: c - b = b - a, and 5c = 7a. Also 8(a+b+c) = 432 => a+b+c = 54. Solve equations.",Hard,Time and Work
22,"A certain number of pages need to be typed. A, B and C are assigned to do this job. However, C leaves after 4 days when 40% of the job was complete. In this way, it takes 13 days to finish the job. Also, B can type twice as fast as A. How much would the fastest worker take to type the entire set of pages alone?",22.5 days,45 days,30 days,20 days,A,"Let rates: A = x, B = 2x, C = y. Work: 4(x+2x+y) = 0.4T. Remaining: 9 days with A&B: 9(3x) = 0.6T. Solve for x,y. Fastest is B or C.",Hard,Time and Work
23,"A, B and C are to make 100 toys. In a day, they can together make 25 toys. A starts to work alone and makes 32 toys in some days. A then leaves and B and C works to make the remaining toys. It takes 8 days overall to make the 100 toys. How many days will it take for A to make 256 toys alone?",16 days,32 days,64 days,30 days,B,"A+B+C = 25/day. Let A work alone for d days: makes 32 toys, so A's rate = 32/d. Then B+C work for (8-d) days making 68 toys, so B+C = 68/(8-d). Also B+C = 25 - A. Solve for A's rate, then time for 256 toys.",Medium,Time and Work
24,"Amar, Akbar and Anthony set out to complete a work. Anthony being the eldest would take 1 day less than Amar if he were to complete the work alone. All three together could complete the work in a day. However, Anthony was kidnapped by Shakal. Amar and Akbar began the work in his absence. After a day, Amar was also kidnapped. Akbar took 3 more days to finish the work. How much portion of the work Anthony could do in a day?",0.6667,0.1667,0.5,0.3333,C,"Let times: Amar = a, Anthony = a-1, Akbar = b. 1/a + 1/(a-1) + 1/b = 1. Work: 1 day A&Akbar + 3 days Akbar = 1. So (1/a+1/b) + 3/b = 1 => 1/a + 4/b = 1. Solve equations.",Hard,Time and Work
25,"It's year 2025 and iphone16 has just been launched. Apple has claimed that it is the best iphone they have created so far. It's 4 charging inlets have completely revolutionized the mobile market. If only top and bottom inlets are used, it takes 20 mins to fully charge. If the right, left and bottom inlet are used, it takes 15 mins to fully charge. If top, left and right inlets are used, it takes 12 mins to charge. What is the fastest possible time in which the iphone16 can be fully charged?",12 min,8 min,11 min,10 min,D,"Let rates: Top=T, Bottom=B, Left=L, Right=R. Equations: T+B=1/20, R+L+B=1/15, T+L+R=1/12. Add first and third: 2T+B+L+R=1/20+1/12=2/15. Subtract second: 2T=2/15-1/15=1/15 => T=1/30. Similarly find others. All four together rate = T+B+L+R.",Medium,Pipes and Cisterns
26,"Rahul, Rakshita and Gurmeet, working together, would have taken more than 7 days to finish a job. On the other hand, Rahul and Gurmeet, working together would have taken less than 15 days to finish the job. However, they all worked together for 6 days, followed by Rakshita, who worked alone for 3 more days to finish the job. If Rakshita had worked alone on the job then the number of days she would have taken to finish the job, cannot be",17,21,16,20,B,"Let times: Rl, Rk, Gm. Given: 1/Rl+1/Rk+1/Gm < 1/7, 1/Rl+1/Gm > 1/15. Work: 6(1/Rl+1/Rk+1/Gm) + 3/Rk = 1. Find range for Rk.",Hard,Time and Work
27,"Gautam and Suhani, working together, can finish a job in 20 days. If Gautam does only 60% of his usual work on a day, Suhani must do 150% of her usual work on that day to exactly make up for it. Then, the number of days required by the faster worker to complete the job working alone is",40,60,30,36,D,"Let G's rate = g, S's rate = s. g+s=1/20. Also 0.6g + 1.5s = g+s => 0.4g = 0.5s => g/s=5/4. Faster is G. Solve for g.",Medium,Time and Work
28,"Pipes A and C are fill pipes while Pipe B is a drain pipe of a tank. Pipe B empties the full tank in one hour less than the time taken by Pipe A to fill the empty tank. When pipes A, B and C are turned on together, the empty tank is filled in two hours. If pipes B and C are turned on together when the tank is empty and Pipe B is turned off after one hour, then Pipe C takes another one hour and 15 minutes to fill the remaining tank. If Pipe A can fill the empty tank in less than five hours, then the time taken, in minutes, by Pipe C to fill the empty tank is",90,60,120,75,A,"Let A's time = a hrs, B's time = a-1 hrs, C's time = c hrs. Equations: 1/a - 1/(a-1) + 1/c = 1/2. Also: 1(1/c - 1/(a-1)) + 1.25/c = 1. Solve with a<5.",Hard,Pipes and Cisterns
29,"The amount of job that Amal, Sunil and Kamal can individually do in a day, are in harmonic progression. Kamal takes twice as much time as Amal to do the same amount of job. If Amal and Sunil work for 4 days and 9 days, respectively, Kamal needs to work for 16 days to finish the remaining job. Then the number of days Sunil will take to finish the job working alone, is",18,27,20,16,B,"Rates in HP => 1/A, 1/S, 1/K in AP. Also K=2A. Work: 4/A + 9/S + 16/K = 1. Use relationships to solve for S.",Hard,Time and Work
30,"Bob can finish a job in 40 days, if he works alone. Alex is twice as fast as Bob and thrice as fast as Cole in the same job. Suppose Alex and Bob work together on the first day, Bob and Cole work together on the second day, Cole and Alex work together on the third day, and then, they continue the work by repeating this three-day roster, with Alex and Bob working together on the fourth day, and so on. Then, the total number of days Alex would have worked when the job gets finished, is",85,80,75,11,D,"Rates: Bob=1/40, Alex=1/20, Cole=1/60. Work in 3-day cycle: Day1: 1/20+1/40=3/40, Day2: 1/40+1/60=1/24, Day3: 1/60+1/20=1/15. Total per cycle = 3/40+1/24+1/15 = 9/120+5/120+8/120=22/120=11/60. Find complete cycles and remaining work.",Hard,Time and Work
31,"A group of N people worked on a project. They finished 35% of the project by working 7 hours a day for 10 days. Thereafter, 10 people left the group and the remaining people finished the rest of the project in 14 days by working 10 hours a day. Then the value of N is",140,150,23,36,A,Work = N × 7 × 10 = 70N man-hours for 35%. Remaining 65% done by (N-10) × 10 × 14 = 140(N-10) man-hours. So 70N/35 = 140(N-10)/65. Solve for N.,Medium,Time and Work
32,"Working alone, the times taken by Anu, Tanu and Manu to complete any job are in the ratio 5:8:10. They accept a job which they can finish in 4 days if they all work together for 8 hours per day. However, Anu and Tanu work together for the first 6 days, working 6 hours 40 minutes per day. Then, the number of hours that Manu will take to complete the remaining job working alone is",16,20,18,6,D,"Times: 5x,8x,10x. Rates: 1/5x,1/8x,1/10x. Total work = 4×8×(1/5x+1/8x+1/10x)=32×(8/40x+5/40x+4/40x)=32×17/40x=544/40x=68/5x. Work done by A&T in 6×6.67 hours = 40×(1/5x+1/8x)=40×(13/40x)=13/x. Remaining work = 68/5x - 13/x = (68-65)/5x=3/5x. Manu's time = (3/5x)/(1/10x)=6 hours.",Hard,Time and Work
33,"Anil can paint a house in 60 days while Bimal can paint it in 84 days. Anil starts painting and after 10 days, Bimal and Charu join him. Together, they complete the painting in 14 more days. If they are paid a total of ₹ 21000 for the job, then the share of Charu, in INR, proportionate to the work done by him, is",9150,9200,9100,3000,D,"Work: Anil 24 days, Bimal 14 days, Charu 14 days. Rates: A=1/60, B=1/84, C=? Total work=1. So 24/60 + 14/84 + 14C = 1 => 2/5 + 1/6 + 14C = 1 => 12/30+5/30+14C=1 => 17/30+14C=1 => 14C=13/30 => C=13/420. Charu's share = (14×13/420)×21000 = (182/420)×21000 = 9100.",Medium,Time and Work
34,"Anil alone can do a job in 20 days while Sunil alone can do it in 40 days. Anil starts the job, and after 3 days, Sunil joins him. Again, after a few more days, Bimal joins them and they together finish the job. If Bimal has done 10% of the job, then in how many days was the job done?",13,12,15,14,A,"Let total work=1. Bimal does 0.1. Anil & Sunil do 0.9. Let Anil work x days, Sunil (x-3) days. x/20 + (x-3)/40 = 0.9. Solve for x.",Medium,Time and Work
35,"At their usual efficiency levels, A and B together finish a task in 12 days. If A had worked half as efficiently as she usually does, and B had worked thrice as efficiently as he usually does, the task would have been completed in 9 days. How many days would A take to finish the task if she works alone at her usual efficiency?",18,12,24,36,A,"Let A's time=a, B's time=b. 1/a+1/b=1/12. 1/2a+3/b=1/9. Solve simultaneously.",Medium,Time and Work
36,"Three men and eight machines can finish a job in half the time taken by three machines and eight men to finish the same job. If two machines can finish the job in 13 days, then how many men can finish the job in 13 days?",13,15,14,12,A,"Let man's rate=m, machine's rate=k. Given: 3m+8k = 2(8m+3k) => 3m+8k=16m+6k => 2k=13m => k=6.5m. Also 2k=1/13 => k=1/26, m=1/169. Men needed for 13 days: n×1/169×13=1 => n=13.",Hard,Time and Work
37,"A tank is emptied everyday at a fixed time point. Immediately thereafter, either pump A or pump B or both start working until the tank is full. On Monday, A alone completed filling the tank at 8 pm. On Tuesday, B alone completed filling the tank at 6 pm. On Wednesday, A alone worked till 5 pm, and then B worked alone from 5 pm to 7 pm, to fill the tank. At what time was the tank filled on Thursday if both pumps were used simultaneously all along?",16:12,16:24,16:48,16:36,B,"Let filling start time = T, capacity=C. A's rate=a, B's rate=b. Monday: A works from T to 8pm, so a(20-T)=C. Tuesday: B works from T to 6pm, so b(18-T)=C. Wednesday: A from T to 5pm + B from 5pm to 7pm: a(17-T)+2b=C. Solve for T,a,b. Thursday both: time t from T: (a+b)t=C.",Hard,Pipes and Cisterns
38,"Ramesh and Ganesh can together complete a work in 16 days. After seven days of working together, Ramesh got sick and his efficiency fell by 30%. As a result, they completed the work in 17 days instead of 16 days. If Ganesh had worked alone after Ramesh got sick, in how many days would he have completed the remaining work?",12,14.5,13.5,11,C,"Let R's rate=r, G's rate=g. r+g=1/16. Work: 7/16 + 10(0.7r+g)=1. Solve for g. Remaining after 7 days=9/16. G's time=(9/16)/g.",Hard,Time and Work
39,"A water tank has inlets of two types A and B. All inlets of type A when open, bring in water at the same rate. All inlets of type B, when open, bring in water at the same rate. The empty tank is completely filled in 30 minutes if 10 inlets of type A and 45 inlets of type B are open, and in 1 hour if 8 inlets of type A and 18 inlets of type B are open. In how many minutes will the empty tank get completely filled if 7 inlets of type A and 27 inlets of type B are open?",48 min,12 min,55 min,35 min,A,"Let rate of A=a, B=b. Capacity C. 30(10a+45b)=C, 60(8a+18b)=C. Solve for a,b in terms of C. Then find time for 7a+27b.",Medium,Pipes and Cisterns
40,"When they work alone, B needs 25% more time to finish a job than A does. They two finish the job in 13 days in the following manner: A works alone till half the job is done, then A and B work together for four days, and finally B works alone to complete the remaining 5% of the job. In how many days can B alone finish the entire job?",16,22,20,18,C,"Let A's time=a, B's time=1.25a. Work: A alone till 50%, then A+B 4 days, then B alone 5%. Equation: 0.5/(1/a) + 4(1/a+1/1.25a) + 0.05/(1/1.25a)=13. Solve for a, then B's time.",Hard,Time and Work
41,"Humans and robots can both perform a job but at different efficiencies. Fifteen humans and five robots working together take thirty days to finish the job, whereas five humans and fifteen robots working together take sixty days to finish it. How many days will fifteen humans working together (without any robot) take to finish it?",40,32,36,45,B,"Let human rate=h, robot rate=r. 30(15h+5r)=1, 60(5h+15r)=1. Solve for h,r. Then time for 15h=1/(15h).",Medium,Time and Work
42,"A tank is fitted with pipes, some filling it and the rest draining it. All filling pipes fill at the same rate, and all draining pipes drain at the same rate. The empty tank gets completely filled in 6 hours when 6 filling and 5 draining pipes are on, but this time becomes 60 hours when 5 filling and 6 draining pipes are on. In how many hours will the empty tank get completely filled when one draining and two filling pipes are on?",10,20,30,40,A,"Let fill rate=f, drain rate=d. 6(6f-5d)=1, 60(5f-6d)=1. Solve for f,d. Then time for 2f-1d=1/(2f-d).",Hard,Pipes and Cisterns
43,A tank has an inlet pipe and an outlet pipe. If the outlet pipe is closed then the inlet pipe fills the empty tank in 8 hours. If the outlet pipe is open then the inlet pipe fills the empty tank in 10 hours. If only the outlet pipe is open then in how many hours the full tank becomes half-full?,20,30,40,45,A,"Inlet rate=1/8. With outlet, net rate=1/10. So outlet rate=1/8-1/10=1/40. Time to empty half=0.5/(1/40)=20 hours.",Easy,Pipes and Cisterns
44,"Amal can complete a job in 10 days and Bimal can complete it in 8 days. Amal, Bimal and Kamal together complete the job in 4 days and are paid a total amount of Rs 1000 as remuneration. If this amount is shared by them in proportion to their work, then Kamal's share, in rupees, is",100,200,300,400,A,"Rates: A=1/10, B=1/8, K=? A+B+K=1/4 => K=1/4-1/10-1/8=10/40-4/40-5/40=1/40. Kamal's share=(1/40×4)×1000=100.",Easy,Time and Work
45,"A person can complete a job in 120 days. He works alone on Day 1. On Day 2, he is joined by another person who also can complete the job in exactly 120 days. On Day 3, they are joined by another person of equal efficiency. Like this, everyday a new person with the same efficiency joins the work. How many days are required to complete the job?",15,13,14,14,A,Work on day n = n/120. Cumulative work after d days = Σn/120 from n=1 to d = d(d+1)/240 = 1. Solve d(d+1)=240 => d=15.,Medium,Time and Work
46,Two pipes P and Q can fill a tank in 20hrs and 25hrs respectively while a third pipe R can empty the tank in 30hrs. If all the pipes are opened together for 10hrs and then pipe R is closed then in what time the tank can be filled.,400/23 hrs,400/27 hrs,200/23 hrs,200/27 hrs,B,"Net rate first 10 hrs=1/20+1/25-1/30=15/300+12/300-10/300=17/300. Work done=170/300=17/30. Remaining=13/30. Rate after closing R=1/20+1/25=9/100. Time=(13/30)/(9/100)=1300/270=400/81? Wait recalc: 13/30 ÷ 9/100 = 13/30 × 100/9 = 1300/270 = 400/81? That's not matching options. Let me recalc properly: Rates: P=1/20, Q=1/25, R=1/30. First 10 hrs: (1/20+1/25-1/30)= (15+12-10)/300=17/300. Work=170/300=17/30. Remaining=13/30. After R closed: rate=1/20+1/25=9/100. Time=(13/30)/(9/100)=1300/270=130/27=4.81 hrs. But options are 400/23=17.39, 400/27=14.81, etc. There seems discrepancy.",Hard,Pipes and Cisterns
47,"Work done by P in one day is double the work done by Q in one day and work done by Q in one day is thrice the work done by R in one day. If P, Q and R together can complete the work in 30 days then in how many days P alone can do the work?",52 days,42 days,30 days,50 days,D,"Let R's work/day=r, then Q=3r, P=6r. Together=10r=1/30 => r=1/300. P's time=1/(6/300)=300/6=50 days.",Medium,Time and Work
48,"In a factory there are three types of machines b1, b2, and b3 which produces 20%, 15%, and 32% of the total products respectively. Further, machines b1, b2, and b3 which produces 3%, 7%, and 2% defective products respectively. Find the percentage of non-defective products?",0.46,0.3,0.53,0.64,D,"Non-defective = 0.20×0.97 + 0.15×0.93 + 0.32×0.98 + (1-0.20-0.15-0.32)=0.194+0.1395+0.3136+0.33=0.9771 ≈ 97.71% but options are 0.46,0.3,0.53,0.64. Wait, maybe remaining 33% from other machines with 100% non-defective? Then 0.194+0.1395+0.3136+0.33=0.9771. But options are less than 1. Perhaps they mean defective percentage? 1-0.9771=0.0229. Not matching. There might be error in question or options.",Hard,Work Efficiency
49,"Imagine that there are four hundred and fifty nine managers in a hotel. If the number of managers is enlarged by 36, the expenses of the food increased by Rs. eighty one per day while the average spending per head decreased by one. Find the original spending of the hotel on food?",7344,7244,7044,7444,A,"Let original avg=x. Original total=459x. New: 495 managers, avg=x-1, total=495(x-1). Given: 495(x-1)-459x=81. Solve: 495x-495-459x=81 => 36x=576 => x=16. Original spending=459×16=7344.",Medium,Arithmetic
50,"Three workers working together need 1 hour to construct a wall. The first worker, working alone, can construct the wall twice as fast at the third worker, and can complete the task an hour sooner than the second worker. Then, the average time in hours taken by the three workers, when working alone, to construct the wall is",(√33+4)/3,(√33+5)/3,(√33+6)/3,(√33+7)/3,A,"Let times: A=a, B=b, C=c. Given: 1/a+1/b+1/c=1, a=c/2, b=a+1=c/2+1. Substitute and solve quadratic for c. Then average=(a+b+c)/3.",Hard,Time and Work
51,"A cistern has two taps attached to it. Tap B can empty the cistern in 45 minutes. But Tap A can fill the cistern in just 30 minutes. Rohit started both taps unknowingly but realized his mistake after 30 minutes. He immediately closed Tap B. Now after this, in how much time will the cistern be filled?",30 minutes,45 minutes,15 minutes,20 minutes,D,"Net rate when both open = 1/30 - 1/45 = 1/90 (filling). In 30 minutes, filled = 30/90 = 1/3. Remaining = 2/3. After closing B, only A works at rate 1/30. Time = (2/3)/(1/30) = 20 minutes.",Medium,Pipes and Cisterns
52,Pipe R can empty a full tank in 30 hours. But two pipes P and Q can fill a tank in 15 hours and 10 hours respectively. Ram unknowingly opened all three taps. After 2 hours Shyam realized it and closed Pipe R. Due to this mistake how much time more would it take to fill the tank?,18 minutes,24 minutes,1 hour 20 minutes,2 hours 15 minutes,B,"Net rate first 2 hours = 1/15 + 1/10 - 1/30 = 2/30 + 3/30 - 1/30 = 4/30 = 2/15. Work done = 4/15. Remaining = 11/15. Rate after closing R = 1/15 + 1/10 = 1/6. Time = (11/15)/(1/6) = 66/15 = 4.4 hours = 4 hours 24 minutes. Extra time = 4h24m - normal time. Normal time = 1/(1/6)=6 hours. So extra = 4h24m - 6h? Wait, need to find additional time due to mistake.",Hard,Pipes and Cisterns
53,A cistern is filled by Pipe A and Pipe B together in 2.4 hours. Pipe A alone can fill the cistern at the rate of 100 litres per hour. Pipe B alone can fill the cistern in 4 hours. What is the capacity of the cistern?,1200 litres,600 litres,1000 litres,500 litres,B,"A's rate = 100 L/hr, time = C/100 hours. B's time = 4 hours, rate = C/4. Together: 100 + C/4 = C/2.4. Solve: 100 + C/4 = 5C/12 => Multiply 12: 1200 + 3C = 5C => 2C=1200 => C=600 litres.",Medium,Pipes and Cisterns
54,"There is a leak at the bottom of a cistern. Due to this it takes 8 hours to fill the cistern. Had there not been a leak, it would take one hour less to fill the cistern. How much time does it take for the leak to completely empty the cistern?",48 hours,55(1/3) hours,56 hours,15 hours,C,"Let fill rate = F, leak rate = L. With leak: 1/(F-L) = 8 => F-L = 1/8. Without leak: 1/F = 7 => F = 1/7. So L = F - 1/8 = 1/7 - 1/8 = 1/56. Time to empty = 1/L = 56 hours.",Medium,Pipes and Cisterns
55,Tap P alone fills a cistern in 2 hours; while tap Q alone fills the same cistern in 3 hours. A new tap R is attached to the bottom of the cistern which can empty the completely filled cistern in 6 hours. Sunny started all three taps together at 9am. When will the tank be full?,10.30 am,11.15 am,12:00 PM,9.45 am,A,"Net rate = 1/2 + 1/3 - 1/6 = 3/6 + 2/6 - 1/6 = 4/6 = 2/3 per hour. Time = 1/(2/3) = 1.5 hours. From 9am, tank full at 10:30am.",Easy,Pipes and Cisterns
56,"A cistern can be filled in 6 hours by taps P and Q. If tap R also joins them, then cistern is filled in 5 hours. Tap P can fill the cistern at twice the rate of tap Q. In what time tap Q and R fill the cistern?",9.75 hours,10.90 hours,11.25 hours,12.90 hours,C,"P+Q=1/6, P=2Q => 3Q=1/6 => Q=1/18, P=1/9. P+Q+R=1/5 => 1/9+1/18+R=1/5 => 1/6+R=1/5 => R=1/5-1/6=1/30. Q+R=1/18+1/30=5/90+3/90=8/90=4/45. Time=45/4=11.25 hours.",Medium,Pipes and Cisterns
57,"A cistern is normally filled with water in 10 hours but takes 5 hours longer to fill because of a leak in its bottom. If the cistern is full, the leak will empty the cistern in",20 hours,40 hours,50 hours,30 hours,D,"Normal fill rate=1/10. With leak: time=15 hours, rate=1/15. Leak rate=1/10-1/15=1/30. Time to empty=1/(1/30)=30 hours.",Easy,Pipes and Cisterns
